statut_commercialisation,specialite,dosage,forme,presentation,class_therapeutique,PPV
Commercialisé,PRIORIX,0,POUDRE LYOPHILISEE + SOLVANT,FLACON DE VACCIN LYOPHILISE + DILUENT EN BOITE DE 1 SERINGUE PREREMPLIE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"139,2"
Non Commercialisé,PRIORIX-TETRA,0,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,POUDRE EN FLACON ET SOLVANT EN SERINGUE PREREMPLIE. BOITE DE 1,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,353
Non Commercialisé,PRIORIX-TETRA,0,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,POUDRE EN FLACON ET SOLVANT EN SERINGUE PREREMPLIE. BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,1645
Retiré du Marché,PRIORIX-TETRA,0,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,POUDRE EN FLACON ET SOLVANT EN AMPOULE. BOITE DE 1,-,378
Retiré du Marché,PRIORIX-TETRA,0,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,POUDRE EN FLACON ET SOLVANT EN AMPOULE. BOITE DE 10,-,1645
Non Commercialisé,RELENZA,5   MG  /  DOSE,POUDRE POUR INHALATION,BOITE DE 20 RECIPIENTS,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,213
Non Commercialisé,REQUIP,"0,25   MG",COMPRIME PELLICULE,BOITE DE 21,NEUROLOGIE-PSYCHIATRIE,"31,2"
Non Commercialisé,REQUIP,"0,5   MG",COMPRIME PELLICULE,BOITE DE 21,NEUROLOGIE-PSYCHIATRIE,37
Non Commercialisé,REQUIP,1   MG,COMPRIME PELLICULE,BOITE DE 21,NEUROLOGIE-PSYCHIATRIE,"83,8"
Non Commercialisé,REQUIP,2   MG,COMPRIME PELLICULE,BOITE DE 21,NEUROLOGIE-PSYCHIATRIE,"156,1"
Non Commercialisé,REQUIP,5   MG,COMPRIME PELLICULE,BOITE DE 21,NEUROLOGIE-PSYCHIATRIE,311
Retiré du Marché,RETROVIR,100   MG  /  10  ML,SOLUTION BUVABLE,FLACON DE 200 ML,-,302
Retiré du Marché,RETROVIR,100   MG,GELULE,BOITE DE 100,-,556
Retiré du Marché,REVOLADE,25   MG,COMPRIME PELLICULE,BOITE DE 14,-,2788
Retiré du Marché,REVOLADE,50   MG,COMPRIME PELLICULE,BOITE DE 14,-,5149
Commercialisé,ROTARIX,0,POUDRE ET SOLVANT POUR SUSPENSION BUVABLE,1 DOSE DE POUDRE EN FLACON + 1 ML DE SOLVANT EN APPLICATEUR POUR ADMINISTRATION ORALE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,252
Non Commercialisé,ROTARIX,0,SUSPENSION BUVABLE EN APPLICATEUR PRE-REMPLI,"1 APPLICATEUR DE 1,5 ML",INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,252
Commercialisé AO,ROTARIX,0,SUSPENSION BUVABLE EN APPLICATEUR PRE-REMPLI,"10 APPLICATEURS DE 1,5 ML",INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,1597
Non Commercialisé,ROTARIX,0,SUSPENSION BUVABLE EN APPLICATEUR PRE-REMPLI,"5 APPLICATEURS DE 1,5 ML",INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,948
Commercialisé AO,ROTARIX,0,SUSPENSION BUVABLE EN TUBE SOUPLE,"10 TUBES DE 1,5 ML",INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,1597
Non Commercialisé,ROTARIX,0,SUSPENSION BUVABLE EN TUBE SOUPLE,"TUBE DE 1,5 ML",INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,252
Commercialisé,SALBUMOL,"0,5   MG  /   ML",SOLUTION INJECTABLE,BOITE DE 6 AMPOULES,PNEUMO-ALLERGO-PHTYSIOLOGIE,"25,6"
Commercialisé AO,SERETIDE,125 µG  /  25 µG PAR DOSE,SUSPENSION POUR INHALATION,FLACON DE 120 DOSES,PNEUMO-ALLERGO-PHTYSIOLOGIE,175
Commercialisé AO,SERETIDE,250 µg  /  25 µg,SUSPENSION POUR INHALATION,FLACON DE 120 DOSES,PNEUMO-ALLERGO-PHTYSIOLOGIE,218
Commercialisé,SERETIDE,50 µG  /  25 µG,SUSPENSION POUR INHALATION,FLACON DE 120 DOSES,PNEUMO-ALLERGO-PHTYSIOLOGIE,140
Commercialisé,SERETIDE DISKUS,100 µG  /  50 µG PAR DOSE,POUDRE POUR INHALATION EN RECIPIENT UNIDOSE,BOITE DE 60 RECIPIENTS UNIDOSES,PNEUMO-ALLERGO-PHTYSIOLOGIE,199
Commercialisé,SERETIDE DISKUS,250 µG  /  50 µG PAR DOSE,POUDRE POUR INHALATION EN RECIPIENT UNIDOSE,FLACON DE 60 DOSES,PNEUMO-ALLERGO-PHTYSIOLOGIE,248
Commercialisé,SERETIDE DISKUS,500 µG  /  50 µG PAR DOSE,POUDRE POUR INHALATION EN RECIPIENT UNIDOSE,BOITE DE 60 RECIPIENTS UNIDOSES,PNEUMO-ALLERGO-PHTYSIOLOGIE,338
Non Commercialisé,STAPHYPEN,1 G,INJECTABLE,BOITE DE 1,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"21,4"
Retiré du Marché,STAPHYPEN,125   MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 100 ML,-,"33,4"
Retiré du Marché,STAPHYPEN,250   MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 100 ML,-,"65,8"
Retiré du Marché,STAPHYPEN,500   MG,GELULE,BOITE DE 12,-,"68,3"
Retiré du Marché,STAPHYPEN,500   MG,GELULE,BOITE DE 24,-,"125,4"
Non Commercialisé,STAPHYPEN,500   MG,INJECTABLE,BOITE DE 1,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"12,3"
Non Commercialisé,SYNFLORIX,0,SUSPENSION INJECTABLE EN FLACON,"BOITE DE 1 FLACON DE 0,5 ML",INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,456
Non Commercialisé,SYNFLORIX,0,SUSPENSION INJECTABLE EN FLACON,"BOITE DE 10 FLACONS DE 0,5 ML",INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,2963
Commercialisé,SYNFLORIX,0,SUSPENSION INJECTABLE EN SERINGUE PRE-REMPLI,"BOITE DE 1 SERINGUE DE 0,5 ML",INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,496
Non Commercialisé,SYNFLORIX,0,SUSPENSION INJECTABLE EN SERINGUE PRE-REMPLI,"BOITE DE 10 SERINGUES DE 0,5 ML",INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,2759
Retiré du Marché,SYNTHOL,"0,936 G  /  0,26 G  /  0,26 G  /  0,021 G  /  0,105 G  /  0,0026 G  /  0,00 26 G",LIQUIDE,FLACON DE 200 ML,-,"16,6"
Commercialisé AO,TRACRIUM,"25   MG  /  2,5  ML",SOLUTION INJECTABLE,BOITE DE 10 AMPOULES,ANESTHESIE-REANIMATION,263
Commercialisé AO,TRACRIUM,50   MG  /  5  ML,SOLUTION INJECTABLE,BOITE DE 10 AMPOULES,ANESTHESIE-REANIMATION,330
Retiré du Marché,TRITANRIX-HB,0,VACCIN,BOITE DE 1 FLACON MONODOSE,-,"114,7"
Retiré du Marché,TUSSIFED,"0,025 G  /  0,20 G",SOLUTION BUVABLE,FLACON DE 120 ML,-,"34,1"
Retiré du Marché,TUSSIFED,"2,5   MG  /  30   MG",COMPRIME,BOITE DE 20,-,"27,8"
Non Commercialisé,TWINRIX ADULTE,0,VACCIN,BOITE DE 1 SERINGUE PREREMPLIE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,455
Non Commercialisé,TWINRIX ENFANT,0,VACCIN,BOITE DE 1 SERINGUE PREREMPLIE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,267
Non Commercialisé,ULTIVA,1   MG,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 5 FL,ANESTHESIE-REANIMATION,267
Commercialisé,ULTIVA,2   MG,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 5 FL,ANESTHESIE-REANIMATION,496
Commercialisé,ULTIVA,5   MG,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 5 FL,ANESTHESIE-REANIMATION,999
Commercialisé,VARILRIX,0,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,FLACON MONODOSE + BOITE DE 1 SERINGUE PREREMPLIE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,252
Commercialisé,VENTOLINE,"0,5   MG  /   ML",SOLUTION INJECTABLE,BOITE DE 6 AMPOULES,PNEUMO-ALLERGO-PHTYSIOLOGIE,"25,1"
Commercialisé,VENTOLINE,100 µG  /  DOSE,SUSPENSION POUR INHALATION EN FLACON PRESSURISE,FLACON DE 200DOSES,PNEUMO-ALLERGO-PHTYSIOLOGIE,"42,2"
Commercialisé,VENTOLINE,2   MG  /  5  ML,SOLUTION BUVABLE,FLACON DE 150 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,"27,3"
Retiré du Marché,VENTOLINE,2   MG,COMPRIME,BOITE DE 40,-,"18,7"
Commercialisé,VENTOLINE,50   MG  /  10  ML,SOLUTION POUR INHALATION PAR NEBULISEUR,FLACON DE 10ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,"29,5"
Non Commercialisé,VENTOLINE NEBULES,"5   MG  /  2,5  ML",SOLUTION POUR INHALATION PAR NEBULISEUR EN RECIPIENT UNIDOSE,BOITE DE 20,PNEUMO-ALLERGO-PHTYSIOLOGIE,110
Non Commercialisé,VENTOLINE NEBULES,"1,25   MG  /  2,5  ML",SOLUTION POUR INHALATION PAR NEBULISEUR EN RECIPIENT UNIDOSE,BOITE DE 20,PNEUMO-ALLERGO-PHTYSIOLOGIE,40
Non Commercialisé,VENTOLINE NEBULES,"2,5   MG  /  2,5  ML",SOLUTION POUR INHALATION PAR NEBULISEUR EN RECIPIENT UNIDOSE,BOITE DE 20,PNEUMO-ALLERGO-PHTYSIOLOGIE,"73,5"
Retiré du Marché,VOTRIENT,200   MG,COMPRIME PELLICULE,BOITE DE 90,-,9478
Retiré du Marché,VOTRIENT,400   MG,COMPRIME PELLICULE,BOITE DE 30,-,7439
Commercialisé,WELLBUTRIN XR,150   MG,COMPRIME A LIBERATION MODIFIEE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,251
Non Commercialisé,WELLBUTRIN XR,150   MG,COMPRIME A LIBERATION MODIFIEE,BOITE DE 7,NEUROLOGIE-PSYCHIATRIE,"73,4"
Non Commercialisé,WELLBUTRIN XR,150   MG,COMPRIME A LIBERATION MODIFIEE,BOITE DE 90,NEUROLOGIE-PSYCHIATRIE,669
Commercialisé,WELLBUTRIN XR,300   MG,COMPRIME A LIBERATION MODIFIEE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,468
Non Commercialisé,WELLBUTRIN XR,300   MG,COMPRIME A LIBERATION MODIFIEE,BOITE DE 7,NEUROLOGIE-PSYCHIATRIE,"110,2"
Non Commercialisé,WELLBUTRIN XR,300   MG,COMPRIME A LIBERATION MODIFIEE,BOITE DE 90,NEUROLOGIE-PSYCHIATRIE,1076
Non Commercialisé,ZANTAC,75   MG,COMPRIME EFFERVESCENT,BOITE DE 12,GASTRO-ENTERO-HEPATOLOGIE,"47,4"
Non Commercialisé,ZANTAC,75   MG,COMPRIME PELLICULE,BOITE DE 10,GASTRO-ENTERO-HEPATOLOGIE,"44,6"
Non Commercialisé,ZEFFIX,100   MG,COMPRIME PELLICULE,BOITE DE 28,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,629
Retiré du Marché,ZELITREX,1 G,COMPRIME ENROBE,BOITE DE 21,-,601
Retiré du Marché,ZELITREX,250   MG,COMPRIME ENROBE,BOITE DE 20,-,203
Retiré du Marché,ZELITREX,250   MG,COMPRIME ENROBE,BOITE DE 30,-,295
Retiré du Marché,ZELITREX,250   MG,COMPRIME ENROBE,BOITE DE 60,-,562
Non Commercialisé,ZELITREX,500   MG,COMPRIME ENROBE,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"192,9"
Non Commercialisé,ZELITREX,500   MG,COMPRIME ENROBE,BOITE DE 42,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,725
Commercialisé,ZENTEL,"0,4 G  /  10  ML",SUSPENSION BUVABLE,FLACON DE 10ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"42,9"
Commercialisé,ZENTEL,400   MG,COMPRIME PELLICULE,BOITE DE 1,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"34,9"
Non Commercialisé,ZIAGEN,20   MG  /   ML,SOLUTION BUVABLE,FLACON DE 240ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,1017
Non Commercialisé,ZIAGEN,300   MG,COMPRIME PELLICULE,BOITE DE 60,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,2867
Non Commercialisé,ZINNAT,125   MG  /  5  ML,SUSPENSION,FLACON DE 50ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"86,8"
Commercialisé,ZINNAT,125   MG  /   ML,SUSPENSION,FLACON DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,156
Commercialisé,ZINNAT,125   MG,COMPRIME PELLICULE,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"64,1"
Commercialisé,ZINNAT,250   MG  /  5  ML,SUSPENSION,FLACON DE 50ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"98,5"
Commercialisé,ZINNAT,250   MG,COMPRIME PELLICULE,BOITE DE 14,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"130,1"
Commercialisé,ZINNAT,500   MG,COMPRIME PELLICULE,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"131,9"
Commercialisé,ZINNAT,750   MG,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 1 FLACON,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"55,5"
Retiré du Marché,ZOPHREN,2   MG  /   ML,INJECTABLE,BOITE DE 1 AMPOULE DE 4 ML,-,205
Retiré du Marché,ZOPHREN,2   MG  /   ML,INJECTABLE,BOITE DE 1 AMPOULES DE 2 ML,-,"119,5"
Retiré du Marché,ZOPHREN,2   MG  /   ML,INJECTABLE,BOITE DE 5 AMPOULES DE 2 ML,-,461
Retiré du Marché,ZOPHREN,2   MG  /   ML,INJECTABLE,BOITE DE 5 AMPOULES DE 4 ML,-,793
Non Commercialisé,ZOPHREN,4   MG,COMPRIME PELLICULE,BOITE DE 10,CANCEROLOGIE-HEMATOLOGIE,418
Non Commercialisé,ZOPHREN,8   MG,COMPRIME PELLICULE,BOITE DE 10,CANCEROLOGIE-HEMATOLOGIE,569
Non Commercialisé,ZOVIRAX,"0,03",POMMADE OPHTALMIQUE,"TUBE DE 4,5 G",OPHTALMOLOGIE,"79,7"
Retiré du Marché,ZOVIRAX,"0,05",CREME DERMIQUE,TUBE DE 10 G,-,150
Commercialisé,ZOVIRAX,"0,05",CREME DERMIQUE,TUBE DE 2 G,DERMATOLOGIE-VENEROLOGIE,42
Non Commercialisé,ZOVIRAX,200   MG,COMPRIME,BOITE DE 25,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"193,5"
Non Commercialisé,ZOVIRAX,250   MG,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 1,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"160,2"
Non Commercialisé,ZYBAN,150   MG,COMPRIME PELLICULE A LIBERATION PROLONGEE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,325
Retiré du Marché,AMIODARONE AGUETTANT,50   MG  /   ML,SOLUTION INJECTABLE,BOITE DE 10 AMPOULE DE 3 ML,-,"76,2"
Commercialisé,BUPIVACAINE AGUETTANT,"0,0025",SOLUTION INJECTABLE,BOITE DE 10 FLACON DE 20 ML,ANESTHESIE-REANIMATION,220
Commercialisé,BUPIVACAINE AGUETTANT,"0,005",SOLUTION INJECTABLE,BOITE DE 10 FLACON DE 20 ML,ANESTHESIE-REANIMATION,220
Retiré du Marché,BUPIVACAINE POUR RACHIANESTHESIE AGUETTANT,5   MG  /   ML,SOLUTION INJECTABLE,BOITE DE 1 AMPOULE DE 4 ML,-,38
Commercialisé,BUPIVACAINE POUR RACHIANESTHESIE AGUETTANT,5   MG  /   ML,SOLUTION INJECTABLE,BOITE DE 20 AMPOULE DE 4 ML,ANESTHESIE-REANIMATION,675
Retiré du Marché,CARBOPLATINE AGUETTANT,10   MG  /   ML,SOLUTE INJECTABLE,BOITE DE 1 FLACON DE 15 ML,-,1096
Retiré du Marché,CARBOPLATINE AGUETTANT,10   MG  /   ML,SOLUTE INJECTABLE,BOITE DE 1 FLACON DE 45 ML,-,2713
Retiré du Marché,CARBOPLATINE AGUETTANT,10   MG  /   ML,SOLUTE INJECTABLE,BOITE DE 1 FLACON DE 5 ML,-,467
Retiré du Marché,CEFTRIAXONE AGUETTANT,1 G,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 1 FLACON,-,"84,1"
Retiré du Marché,CEFTRIAXONE AGUETTANT,"1 G  /  3,5  ML","POUDRE POUR SOLUTION INJECTABLE AVEC 1 AMPOULE DE 3,5ML",BOITE DE 1 FLACON,-,"84,1"
Retiré du Marché,CEFTRIAXONE AGUETTANT,2 G,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 1 FLACON,-,"121,5"
Non Commercialisé,CHLORURE DE SODIUM MEGDICH PHARMA,"0,009",SOLUTION INJECTABLE,POCHE DE 1 L,ANESTHESIE-REANIMATION,"23,4"
Non Commercialisé,CHLORURE DE SODIUM MEGDICH PHARMA,"0,009",SOLUTION INJECTABLE,POCHE DE 3 L,ANESTHESIE-REANIMATION,77
Non Commercialisé,CIPROFLOXACINE AGUETTANT,200   MG  /  100  ML,SOLUTION POUR PERFUSION,BOITE DE 20 POCHES DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,1331
Non Commercialisé,CIPROFLOXACINE AGUETTANT,400   MG  /  200  ML,SOLUTION POUR PERFUSION,BOITE DE 20 POCHES DE 200ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,1722
Commercialisé,CLAIRYG,50   MG  /   ML,SOLUTION POUR PERFUSION,FLACON DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,2851
Retiré du Marché,CLAIRYG,50   MG  /   ML,SOLUTION POUR PERFUSION,FLACON DE 20 ML,-,838
Non Commercialisé,CLAIRYG,50   MG  /   ML,SOLUTION POUR PERFUSION,FLACON DE 200 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,5302
Non Commercialisé,CLAIRYG,50   MG  /   ML,SOLUTION POUR PERFUSION,FLACON DE 400 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,10517
Non Commercialisé,CLAIRYG,50   MG  /   ML,SOLUTION POUR PERFUSION,FLACON DE 50 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,1525
Commercialisé,CLOTTAFACT,"1,5 G  /  100  ML",SOLUTION INJECTABLE,FLACON DE 100 ML,CANCEROLOGIE-HEMATOLOGIE,7356
Retiré du Marché,DOBUTAMINE AGUETTANT,250   MG  /  20  ML,LYOPHILISAT,BOITE DE 10 FL,-,1463
Retiré du Marché,DOBUTAMINE AGUETTANT,250   MG  /  20  ML,SOLUTION POUR PERFUSION,BOITE DE 10 AMPOULES DE 20 ML,-,802
Retiré du Marché,DOPAMINE AGUETTANT,10   MG  /   ML,SOLUTION INJECTABLE IV,BOITE DE 50 AMPOULES DE 5 ML,-,518
Retiré du Marché,DOPAMINE AGUETTANT,40   MG  /   ML,SOLUTION INJECTABLE IV,BOITE DE 50 AMPOULES DE 5 ML,-,747
Commercialisé,EPHEDRINE AGUETTANT,"0,03",SOLUTE INJECTABLE,BOITE DE 10 AMPOULES DE 1 ML,DERMATOLOGIE-VENEROLOGIE,"139,2"
Retiré du Marché,EPHEDRINE AGUETTANT,30   MG  /   ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULES DE 1 ML,-,"83,2"
Non Commercialisé,FACTANE,100 UI  /   ML,SOLUTION INJECTABLE,FLACON DE 10ML,CANCEROLOGIE-HEMATOLOGIE,5550
Non Commercialisé,FACTANE,100 UI  /   ML,SOLUTION INJECTABLE,"FLACON DE 2,5 ML",CANCEROLOGIE-HEMATOLOGIE,1688
Non Commercialisé,FACTANE,100 UI  /   ML,SOLUTION INJECTABLE,FLACON DE 5 ML,CANCEROLOGIE-HEMATOLOGIE,2906
Non Commercialisé,FLUCONAZOLE AGUETTANT,2   MG  /   ML,SOLUTE INJECTABLE,10 POCHES DE 200 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,1305
Non Commercialisé,FLUCONAZOLE AGUETTANT,2   MG  /   ML,SOLUTE INJECTABLE,10 POCHES DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,1147
Non Commercialisé,FLUCONAZOLE AGUETTANT,2   MG  /   ML,SOLUTE INJECTABLE,10 POCHES DE 50 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,472
Non Commercialisé,FLUDARABINE PHOSPHATE PCH,25   MG  /   ML,CONCENTRE POUR SOLUTION POUR INJECTION OU PERFUSION,BOITE DE 1 FLACON DE 2 ML,CANCEROLOGIE-HEMATOLOGIE,239
Commercialisé,ENOXA,"2000 UI ANTI XA  /  0,2  ML",SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE,BOITE DE 2 SERINGUES DE 1 ML,CARDIOLOGIE-ANGEIOLOGIE,"65,3"
Commercialisé,ENOXA,"4000 UI ANTI XA  /  0,4  ML",SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE,BOITE DE 2 SERINGUES DE 1 ML,CARDIOLOGIE-ANGEIOLOGIE,"110,2"
Commercialisé,ENOXA,"6000 UI ANTI XA  /  0,6  ML",SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE,BOITE DE 2 SERINGUES DE 1 ML,CARDIOLOGIE-ANGEIOLOGIE,"134,6"
Commercialisé,ENOXA,"8000 UI ANTI XA  /  0,8  ML",SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE,BOITE DE 2 SERINGUES DE 1 ML,CANCEROLOGIE-HEMATOLOGIE,"158,4"
Commercialisé,FOLINATE DE CALCIUM AGUETTANT,100   MG,LYOPHILISAT,BOITE DE 1 FLACON,CANCEROLOGIE-HEMATOLOGIE,"107,5"
Commercialisé,FOLINATE DE CALCIUM AGUETTANT,50   MG,LYOPHILISAT POUR USAGE PARENTERAL,BOITE DE 10 FL,CANCEROLOGIE-HEMATOLOGIE,632
Non Commercialisé,FOLINATE DE CALCIUM AGUETTANT,50   MG,LYOPHILISAT POUR USAGE PARENTERAL,BOITE DE 5 FL,CANCEROLOGIE-HEMATOLOGIE,344
Commercialisé,GLUCONATE DE CALCIUM PROAMP,"0,1",SOLUTION INJECTABLE,BOITE DE 50 AMPOULES DE 10ML,ANESTHESIE-REANIMATION,271
Non Commercialisé,GLYCOCOLLE MEGDICH PHARMA,"0,015",SOLUTION INJECTABLE,POCHE DE 3 L,ANESTHESIE-REANIMATION,83
Commercialisé,HEMO-PUR A,,SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE,BIDON DE 5 L,UROLOGIE-NEPHROLOGIE,"63,2"
Commercialisé,HEMO-PUR A1,0,SOLUTE POUR HEMODIALYSE,BIDON DE 5 L,UROLOGIE-NEPHROLOGIE,"71,7"
Commercialisé,HEMO-PUR A1,0,SOLUTE POUR HEMODIALYSE,BIDON DE 6 L,UROLOGIE-NEPHROLOGIE,72
Commercialisé,HEMO-PUR A1,0,TRANSCUVE,1000 L,UROLOGIE-NEPHROLOGIE,5062
Commercialisé,HEMO-PUR A1,"172,19  /  5,49  /  9,48  /  3,74  /  8,85 G  /  L",SOLUTE POUR HEMODIALYSE,BIDON DE 10 L,UROLOGIE-NEPHROLOGIE,96
Commercialisé,HEMO-PUR A2,0,SOLUTE POUR HEMODIALYSE,BIDON DE 10 L,UROLOGIE-NEPHROLOGIE,"107,4"
Non Commercialisé,HEMO-PUR A2,0,SOLUTE POUR HEMODIALYSE,BIDON DE 5 L,UROLOGIE-NEPHROLOGIE,"63,2"
Commercialisé,HEMO-PUR A2,0,SOLUTE POUR HEMODIALYSE,BIDON DE 6 L,UROLOGIE-NEPHROLOGIE,"75,8"
Commercialisé,HEMO-PUR A5,0,SOLUTE POUR HEMODIALYSE,BIDON DE 10 L,UROLOGIE-NEPHROLOGIE,"111,5"
Commercialisé,HEMO-PUR A5,0,TRANSCUVE,1000 L,UROLOGIE-NEPHROLOGIE,5816
Commercialisé,HEMO-PUR A5,"210,62  /  5,21  /  9  /  3,55  /  6,31 G  /  L",SOLUTE POUR HEMODIALYSE,BIDON DE 5 L,UROLOGIE-NEPHROLOGIE,"65,6"
Commercialisé,HEMO-PUR A5,"210,62  /  5,21  /  9  /  3,55  /  6,31 G  /  L",SOLUTE POUR HEMODIALYSE,BIDON DE 6 L,UROLOGIE-NEPHROLOGIE,"78,7"
Commercialisé,HEMO-PUR A6,,SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE,BIDON DE 10 L,UROLOGIE-NEPHROLOGIE,"111,5"
Commercialisé,HEMO-PUR A6,,SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE,BIDON DE 5 L,UROLOGIE-NEPHROLOGIE,"65,6"
Commercialisé,HEMO-PUR A6,,SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE,BIDON DE 6 L,UROLOGIE-NEPHROLOGIE,"78,7"
Commercialisé,HEMO-PUR A6,,SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE,TRANSCUVE DE 1000 ML,UROLOGIE-NEPHROLOGIE,5816
Non Commercialisé,HEMO-PUR AC1,"212,72  /  5,22  /  9  /  5,34  /  181,85 G  /  L",SOLUTE POUR HEMODIALYSE,BIDON DE 10 L,UROLOGIE-NEPHROLOGIE,"161,4"
Commercialisé,HEMO-PUR AG1,"172,19  /  36,83  /  5,49  /  9,48  /  3,74  /  8,85G  /  L",SOLUTE POUR HEMODIALYSE,BIDON DE 10 L,UROLOGIE-NEPHROLOGIE,"107,4"
Commercialisé,HEMO-PUR AG1,"172,19  /  36,83  /  5,49  /  9,48  /  3,74  /  8,85G  /  L",SOLUTE POUR HEMODIALYSE,BIDON DE 5 L,UROLOGIE-NEPHROLOGIE,"63,2"
Commercialisé,HEMO-PUR AG1,"172,19  /  36,83  /  5,49  /  9,48  /  3,74  /  8,85G  /  L",SOLUTE POUR HEMODIALYSE,BIDON DE 6 L,UROLOGIE-NEPHROLOGIE,"75,8"
Commercialisé,HEMO-PUR AG,,SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE,BIDON DE 10 L,UROLOGIE-NEPHROLOGIE,"107,3"
Commercialisé,HEMO-PUR AG5,,SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE,BIDON DE 10 L,UROLOGIE-NEPHROLOGIE,"107,3"
